Public Opinion,Past Use,Religion,Sex,Age,Education,Race,Income,Party Affiliation,Household Size,State,Eventually Legalized
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,56,HS,Black or African-American,"30 to under $40,000",Independent,2,Alabama,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,42,HS,Black or African-American,"Less than $10,000",No preference (VOL.),1,Michigan,"Yes, it will"
medicinal,No,Christian (VOL.),Female,35,Some College,Black or African-American,"30 to under $40,000",Democrat,1,New York,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,18,HS Incomplete,Black or African-American,"20 to under $30,000",Democrat,2,Oklahoma,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,73,Four year college,White,"30 to under $40,000",Independent,2,Wisconsin,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,67,Some College,Black or African-American,"10 to under $20,000",Democrat,1,Texas,"Yes, it will"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,34,Four year college,White,"$150,000 or more",Republican,2,Kansas,"Yes, it will"
personal,No,Christian (VOL.),Female,28,Some College,White,"40 to under $50,000",Republican,1,Texas,"Yes, it will"
medicinal,No,Muslim (Islam),Male,52,Some Postgraduate,Black or African-American,"20 to under $30,000",Democrat,6,Texas,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,49,Postgraduate Degree,White,"100 to under $150,000",Republican,3,Tennessee,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,34,HS,Black or African-American,"50 to under $75,000",Democrat,3,Illinois,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,61,Postgraduate Degree,White,"100 to under $150,000",Democrat,2,Louisiana,"Yes, it will"
medicinal,No,Muslim (Islam),Male,42,Four year college,Asian or Asian-American,"100 to under $150,000",Independent,2,Illinois,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,18,HS,Black or African-American,"20 to under $30,000",Democrat,5,Alabama,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,59,Associate Degree,White,"75 to under $100,000",Democrat,2,Iowa,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,25,Four year college,White,"Less than $10,000",Republican,2,Wisconsin,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,65,Postgraduate Degree,Black or African-American,"50 to under $75,000",Democrat,4,Texas,"Yes, it will"
personal,Yes,Atheist (do not believe in God),Male,24,Four year college,White,"75 to under $100,000",Independent,3,Nebraska,"Yes, it will"
medicinal,No,Christian (VOL.),Male,19,HS,White,"100 to under $150,000",Republican,2,Texas,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,27,HS,White,"20 to under $30,000",Independent,3,Texas,"No, it will not"
notlegal,No,Christian (VOL.),Female,59,Four year college,White,"50 to under $75,000",Republican,2,Texas,"No, it will not"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,57,HS Incomplete,White,"50 to under $75,000",Independent,3,Louisiana,"Yes, it will"
personal,No,Nothing in particular,Female,55,Some College,White,"$150,000 or more",Republican,2,Nebraska,"Yes, it will"
personal,No,Jewish (Judaism),Female,24,Postgraduate Degree,White,"50 to under $75,000",Independent,3,California,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,58,HS Incomplete,Native American,"Less than $10,000",Independent,2,Oklahoma,"Yes, it will"
medicinal,Yes,Nothing in particular,Female,55,HS Incomplete,White,"10 to under $20,000",Independent,5,Missouri,"Yes, it will"
personal,Yes,Nothing in particular,Male,24,Four year college,White,"75 to under $100,000",Democrat,2,Wisconsin,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,29,HS,White,"50 to under $75,000",No preference (VOL.),4,Indiana,"Yes, it will"
personal,Yes,Nothing in particular,Male,32,Four year college,White,"$150,000 or more",Democrat,2,Texas,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,75,HS Incomplete,Black or African-American,"10 to under $20,000",Democrat,1,Arkansas,"No, it will not"
personal,Yes,Roman Catholic (Catholic),Male,35,Postgraduate Degree,White,"$150,000 or more",Independent,4,Texas,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,22,HS Incomplete,White,"10 to under $20,000",Democrat,4,Wisconsin,"No, it will not"
notlegal,No,Nothing in particular,Female,42,HS Incomplete,Hispanic or Latino,"Less than $10,000",Independent,4,Louisiana,"Yes, it will"
notlegal,No,"Orthodox (Greek, Russian, or some other orthodox church)",Female,55,Four year college,White,"50 to under $75,000",Independent,5,Colorado,"No, it will not"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Female,30,Four year college,White,"75 to under $100,000",Republican,6,Idaho,"Yes, it will"
medicinal,Yes,Christian (VOL.),Female,60,Four year college,White,"40 to under $50,000",Independent,2,Idaho,"Yes, it will"
personal,No,Roman Catholic (Catholic),Female,66,HS,White,"10 to under $20,000",Independent,1,Missouri,"Yes, it will"
notlegal,No,Christian (VOL.),Male,39,Some College,White,"75 to under $100,000",Independent,4,Arizona,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,18,HS Incomplete,White,"40 to under $50,000",Independent,3,Illinois,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,45,HS,White,"20 to under $30,000",Independent,5,Nebraska,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,50,Some College,White,"20 to under $30,000",Independent,2,Idaho,"No, it will not"
medicinal,No,Nothing in particular,Male,57,HS,White,"20 to under $30,000",Democrat,2,Missouri,"No, it will not"
personal,No,Christian (VOL.),Female,55,HS,White,"50 to under $75,000",Independent,3,Missouri,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,46,HS,White,"40 to under $50,000",No preference (VOL.),2,Oklahoma,"Yes, it will"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,63,Some College,White,"$150,000 or more",Republican,2,Utah,"No, it will not"
personal,Yes,Roman Catholic (Catholic),Female,21,Some College,White,"Less than $10,000",Independent,3,Arizona,"Yes, it will"
notlegal,Yes,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,29,Some College,White,"40 to under $50,000",Independent,4,Utah,"Yes, it will"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,67,Postgraduate Degree,White,"50 to under $75,000",Independent,5,Idaho,"No, it will not"
personal,Yes,Jewish (Judaism),Male,18,HS Incomplete,White,"50 to under $75,000",Independent,4,Idaho,"Yes, it will"
personal,Yes,Atheist (do not believe in God),Male,29,Associate Degree,White,"50 to under $75,000",Independent,3,Arizona,"Yes, it will"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,22,Four year college,White,"50 to under $75,000",Independent,2,Arizona,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,78,Postgraduate Degree,White,"75 to under $100,000",Democrat,2,Minnesota,"Yes, it will"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Female,19,HS,White,"Less than $10,000",Republican,2,Idaho,"Yes, it will"
notlegal,No,Christian (VOL.),Female,33,Four year college,White,"50 to under $75,000",Republican,5,Iowa,"Yes, it will"
personal,Yes,Nothing in particular,Female,48,Associate Degree,White,"30 to under $40,000",Democrat,2,Missouri,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,28,Four year college,White,"100 to under $150,000",Independent,3,Colorado,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,32,Four year college,White,"$150,000 or more",Independent,2,Colorado,"Yes, it will"
personal,Yes,Nothing in particular,Male,56,HS,Native American,"50 to under $75,000",Independent,3,Arizona,"Yes, it will"
notlegal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Female,70,Four year college,White,"20 to under $30,000",Republican,2,Utah,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,18,Some College,White,"Less than $10,000",Republican,2,Wisconsin,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,40,Postgraduate Degree,White,"$150,000 or more",Republican,4,Arizona,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,76,Four year college,White,"$150,000 or more",Republican,2,Colorado,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,33,HS,White,"75 to under $100,000",Democrat,5,Nebraska,"Yes, it will"
medicinal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,28,Associate Degree,White,"75 to under $100,000",Republican,3,Utah,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,50,Associate Degree,Black or African-American,"$150,000 or more",Independent,5,Arizona,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,40,Some College,White,"50 to under $75,000",Independent,5,Texas,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,66,Associate Degree,White,"30 to under $40,000",Independent,2,Arkansas,"Yes, it will"
personal,No,Christian (VOL.),Female,22,HS,White,"20 to under $30,000",Republican,2,Texas,"Yes, it will"
notlegal,No,Christian (VOL.),Female,58,Some College,White,"20 to under $30,000",Republican,2,South Dakota,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,69,HS,White,"20 to under $30,000",Independent,1,Idaho,"Yes, it will"
medicinal,No,Nothing in particular,Male,49,Four year college,White,"100 to under $150,000",Independent,3,Arizona,"No, it will not"
medicinal,Yes,Unitarian (Universalist) (VOL.),Male,27,Four year college,Native American,"75 to under $100,000",Democrat,1,Wisconsin,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,77,HS,White,"20 to under $30,000",No preference (VOL.),2,Minnesota,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,48,Postgraduate Degree,White,"100 to under $150,000",Republican,4,Texas,"No, it will not"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,51,Some College,White,"10 to under $20,000",Republican,2,North Carolina,"Yes, it will"
medicinal,Yes,Christian (VOL.),Female,54,HS,White,"75 to under $100,000",Republican,2,Utah,"No, it will not"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,34,Some College,White,"40 to under $50,000",Independent,5,Missouri,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,32,HS,White,"10 to under $20,000",Independent,4,Tennessee,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,52,Postgraduate Degree,White,"100 to under $150,000",Democrat,2,California,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,68,Four year college,White,"50 to under $75,000",Democrat,1,Florida,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,24,HS,White,"$150,000 or more",Independent,4,Florida,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,57,Some Postgraduate,White,"$150,000 or more",Independent,4,Colorado,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,42,Four year college,White,"100 to under $150,000",Independent,5,Arizona,"Yes, it will"
personal,Yes,Buddhist,Female,19,Some College,White,"20 to under $30,000",Independent,3,Arizona,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,34,Four year college,Asian or Asian-American,"100 to under $150,000",Democrat,4,California,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,32,Associate Degree,White,"100 to under $150,000",Republican,2,California,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,22,Some College,Black or African-American,"Less than $10,000",Democrat,4,New York,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,64,Some Postgraduate,White,"100 to under $150,000",Republican,3,California,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,18,Some College,White,"40 to under $50,000",Independent,5,Texas,"Yes, it will"
notlegal,No,Christian (VOL.),Male,79,Four year college,White,"20 to under $30,000",Independent,2,Arizona,"Yes, it will"
medicinal,No,Nothing in particular,Male,21,HS,Black or African-American,"Less than $10,000",Independent,1,Kentucky,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,52,Postgraduate Degree,Black or African-American,"$150,000 or more",Democrat,1,Georgia,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,22,Four year college,White,"100 to under $150,000",Independent,5,New Jersey,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,56,Four year college,White,"40 to under $50,000",Independent,3,North Carolina,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,56,HS Incomplete,Hispanic or Latino,"Less than $10,000",Republican,2,Florida,"Yes, it will"
personal,Yes,Atheist (do not believe in God),Male,32,Four year college,Asian or Asian-American,"$150,000 or more",Independent,6,Florida,"No, it will not"
personal,Yes,Nothing in particular,Male,27,Four year college,White,"30 to under $40,000",Independent,2,New York,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,54,Postgraduate Degree,White,"50 to under $75,000",Independent,2,North Carolina,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,30,HS,Asian or Asian-American,"10 to under $20,000",Democrat,5,Georgia,"Yes, it will"
personal,Yes,Christian (VOL.),Female,33,Associate Degree,Hispanic or Latino,"10 to under $20,000",Democrat,6,New York,"Yes, it will"
personal,No,Christian (VOL.),Male,40,HS Incomplete,White,"20 to under $30,000",Independent,5,Ohio,"Yes, it will"
personal,No,Agnostic (not sure if there is a God),Female,32,Some College,Black or African-American,"40 to under $50,000",Independent,2,North Carolina,"Yes, it will"
personal,Yes,Christian (VOL.),Female,18,Some College,White,"50 to under $75,000",No preference (VOL.),3,North Carolina,"Yes, it will"
personal,Yes,Nothing in particular,Male,23,Four year college,White,"75 to under $100,000",Other party (VOL.),5,Georgia,"Yes, it will"
personal,No,"Orthodox (Greek, Russian, or some other orthodox church)",Female,76,HS Incomplete,White,"Less than $10,000",Republican,2,Florida,"Yes, it will"
notlegal,No,Atheist (do not believe in God),Male,23,Four year college,White,"20 to under $30,000",Democrat,1,Pennsylvania,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,28,Postgraduate Degree,White,"100 to under $150,000",Independent,4,Rhode Island,"Yes, it will"
personal,No,Atheist (do not believe in God),Male,26,Postgraduate Degree,White,"20 to under $30,000",Independent,3,Kansas,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Female,39,Four year college,Black or African-American,"$150,000 or more",Democrat,3,North Carolina,"Yes, it will"
medicinal,No,Nothing in particular,Male,66,Associate Degree,White,"50 to under $75,000",Republican,1,Pennsylvania,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,23,Some College,Black or African-American,"50 to under $75,000",Democrat,2,Ohio,"Yes, it will"
personal,Yes,Muslim (Islam),Male,30,HS,Black or African-American,"100 to under $150,000",Independent,1,Pennsylvania,"No, it will not"
personal,Yes,Atheist (do not believe in God),Male,21,HS,Asian or Asian-American,"100 to under $150,000",Independent,4,Virginia,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,22,Some College,Black or African-American,"10 to under $20,000",Independent,4,Georgia,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,41,HS,White,"Less than $10,000",No preference (VOL.),2,Tennessee,"Yes, it will"
personal,Yes,Atheist (do not believe in God),Male,22,Four year college,White,"$150,000 or more",Democrat,1,District of Columbia,"Yes, it will"
medicinal,No,Nothing in particular,Male,19,HS,Black or African-American,"20 to under $30,000",No preference (VOL.),6,Georgia,"Yes, it will"
notlegal,Yes,Nothing in particular,Female,34,HS,White,"20 to under $30,000",Independent,5,Indiana,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,48,HS,Hispanic or Latino,"Less than $10,000",Other party (VOL.),3,North Carolina,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,50,Postgraduate Degree,White,"$150,000 or more",Republican,4,North Carolina,"Yes, it will"
personal,Yes,Nothing in particular,Male,30,Four year college,White,"$150,000 or more",Independent,2,Illinois,"Yes, it will"
personal,No,Nothing in particular,Male,30,Associate Degree,White,"20 to under $30,000",Independent,2,Minnesota,"Yes, it will"
personal,Yes,Buddhist,Male,29,HS,White,"50 to under $75,000",Independent,2,Tennessee,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,62,Four year college,White,"100 to under $150,000",Democrat,1,Illinois,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,65,Postgraduate Degree,White,"50 to under $75,000",Republican,4,Arkansas,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,49,Postgraduate Degree,White,"75 to under $100,000",Republican,4,Mississippi,"No, it will not"
personal,Yes,Christian (VOL.),Male,24,HS Incomplete,Black or African-American,"Less than $10,000",Independent,5,Louisiana,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Female,28,Postgraduate Degree,White,"40 to under $50,000",Democrat,2,Illinois,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,54,Postgraduate Degree,White,"50 to under $75,000",Republican,2,Florida,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,60,Some College,White,"100 to under $150,000",Independent,3,Mississippi,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,19,Some College,Black or African-American,"40 to under $50,000",Democrat,4,Mississippi,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,59,Postgraduate Degree,White,"75 to under $100,000",Independent,4,Louisiana,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Female,53,HS,White,"$150,000 or more",Independent,1,Idaho,"Yes, it will"
personal,Yes,Nothing in particular,Male,28,Associate Degree,White,"100 to under $150,000",Independent,5,Iowa,"Yes, it will"
medicinal,No,Nothing in particular,Female,54,Associate Degree,White,"40 to under $50,000",Republican,2,Idaho,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,18,Some College,White,"75 to under $100,000",Republican,4,Oregon,"Yes, it will"
medicinal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,31,HS,White,"50 to under $75,000",Independent,3,Arizona,"Yes, it will"
medicinal,Yes,Agnostic (not sure if there is a God),Male,18,HS,Asian or Asian-American,"$150,000 or more",Democrat,4,Georgia,"Yes, it will"
personal,Yes,Nothing in particular,Male,33,Some College,White,"20 to under $30,000",Independent,2,Arizona,"No, it will not"
personal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,34,Postgraduate Degree,White,"$150,000 or more",Independent,4,Arizona,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,28,Associate Degree,White,"20 to under $30,000",Independent,3,California,"Yes, it will"
personal,No,Christian (VOL.),Male,19,HS,Asian or Asian-American,"75 to under $100,000",Independent,5,California,"Yes, it will"
notlegal,No,Nothing in particular,Male,52,HS,White,"20 to under $30,000",Independent,3,California,"No, it will not"
personal,Yes,Agnostic (not sure if there is a God),Male,43,Associate Degree,White,"10 to under $20,000",Independent,2,California,"Yes, it will"
medicinal,Yes,Christian (VOL.),Male,18,HS,Hispanic or Latino,"30 to under $40,000",Republican,3,California,"Yes, it will"
medicinal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,25,HS,White,"20 to under $30,000",Republican,2,Utah,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,70,Four year college,White,"$150,000 or more",Independent,2,California,"Yes, it will"
notlegal,Yes,Christian (VOL.),Female,24,Some College,White,"30 to under $40,000",Democrat,3,California,"No, it will not"
medicinal,Yes,"Orthodox (Greek, Russian, or some other orthodox church)",Female,21,HS,White,"$150,000 or more",Independent,3,California,"Yes, it will"
personal,Yes,Nothing in particular,Female,19,HS,White,"50 to under $75,000",Republican,1,California,"No, it will not"
personal,Yes,Atheist (do not believe in God),Male,55,Postgraduate Degree,White,"75 to under $100,000",Independent,2,California,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,33,Four year college,White,"50 to under $75,000",Republican,1,California,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,30,HS,White,"20 to under $30,000",Democrat,3,California,"No, it will not"
personal,Yes,Agnostic (not sure if there is a God),Female,29,Four year college,White,"30 to under $40,000",Independent,2,California,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,36,Less than HS,White,"30 to under $40,000",Independent,2,California,"Yes, it will"
personal,No,Christian (VOL.),Female,44,HS,Black or African-American,"20 to under $30,000",Democrat,3,Nevada,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,34,Associate Degree,White,"20 to under $30,000",Democrat,3,Oregon,"Yes, it will"
personal,No,Nothing in particular,Female,21,Some College,Black or African-American,"$150,000 or more",Independent,2,California,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,20,HS,Hispanic or Latino,"Less than $10,000",Republican,7,California,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,45,Four year college,White,"75 to under $100,000",Republican,3,California,"Yes, it will"
medicinal,No,Christian (VOL.),Male,25,Associate Degree,Black or African-American,"40 to under $50,000",Democrat,2,Oregon,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,26,Associate Degree,White,"40 to under $50,000",Independent,1,California,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,40,Less than HS,White,"30 to under $40,000",Democrat,5,California,"Yes, it will"
medicinal,No,Christian (VOL.),Female,66,Four year college,White,"20 to under $30,000",Independent,2,California,"Yes, it will"
personal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,24,Associate Degree,White,"20 to under $30,000",Independent,3,Utah,"Yes, it will"
medicinal,No,Nothing in particular,Male,42,HS,Asian or Asian-American,"100 to under $150,000",Independent,5,California,"Yes, it will"
notlegal,No,Atheist (do not believe in God),Male,27,Four year college,Hispanic or Latino,"20 to under $30,000",Democrat,2,Michigan,"No, it will not"
personal,Yes,Agnostic (not sure if there is a God),Male,28,Some College,White,"50 to under $75,000",Independent,2,California,"Yes, it will"
medicinal,Yes,Nothing in particular,Female,25,Four year college,White,"20 to under $30,000",Democrat,3,California,"No, it will not"
notlegal,No,Roman Catholic (Catholic),Female,53,HS Incomplete,White,"Less than $10,000",Republican,1,California,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,49,Associate Degree,Black or African-American,"75 to under $100,000",Democrat,2,California,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,39,Less than HS,White,"$150,000 or more",Democrat,5,Oklahoma,"No, it will not"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,27,HS,Black or African-American,"10 to under $20,000",Democrat,1,Alabama,"Yes, it will"
